	pater	mater	filius	filia
curtius_rufus.historiae_alexandri_magni.part.5.tess	0	2	1	0
curtius_rufus.historiae_alexandri_magni.part.6.tess	5	0	4	0
curtius_rufus.historiae_alexandri_magni.part.7.tess	1	1	1	0
curtius_rufus.historiae_alexandri_magni.part.8.tess	3	3	0	1
curtius_rufus.historiae_alexandri_magni.part.9.tess	0	1	0	0
dracontius.de_laudibus_dei.part.1.tess	1	1	0	0
dracontius.de_laudibus_dei.part.2.tess	2	4	0	0
dracontius.de_laudibus_dei.part.3.tess	10	0	0	0
dracontius.orestes.tess	4	10	0	1
dracontius.romulea.part.1.tess	1	0	0	0
dracontius.romulea.part.10.tess	2	6	0	1
dracontius.romulea.part.2.tess	0	2	0	0
dracontius.romulea.part.3.tess	0	0	0	0
dracontius.romulea.part.4.tess	0	0	0	0
dracontius.romulea.part.5.tess	1	1	1	0
dracontius.romulea.part.6.tess	0	0	0	0
dracontius.romulea.part.7.tess	0	1	0	0
dracontius.romulea.part.8.tess	8	11	0	0
dracontius.romulea.part.9.tess	2	2	0	0
dracontius.romulea.part.fragments.tess	0	0	0	0
dracontius.satisfactio.tess	1	0	0	0
ennius.annales.tess	13	0	1	0
ennodius.opera.tess	5	2	2	0
eutropius.brevarium.tess	7	3	23	1
florus.epitome_bellorum_omnium_annorum.tess	10	2	7	2
gellius.attic_nights.part.1.tess	2	2	0	0
gellius.attic_nights.part.10.tess	1	0	0	1
gellius.attic_nights.part.11.tess	0	0	0	0
gellius.attic_nights.part.12.tess	1	1	2	0
gellius.attic_nights.part.13.tess	4	0	2	0
gellius.attic_nights.part.14.tess	1	1	0	0
gellius.attic_nights.part.15.tess	1	0	0	0
gellius.attic_nights.part.16.tess	0	0	1	0
gellius.attic_nights.part.17.tess	1	0	2	0
gellius.attic_nights.part.18.tess	0	1	0	0
gellius.attic_nights.part.19.tess	0	0	0	0
gellius.attic_nights.part.2.tess	12	4	1	1
gellius.attic_nights.part.20.tess	0	0	0	0
gellius.attic_nights.part.3.tess	0	1	2	0
gellius.attic_nights.part.4.tess	0	0	2	0
gellius.attic_nights.part.5.tess	1	0	3	0
gellius.attic_nights.part.6.tess	1	0	1	0
gellius.attic_nights.part.7.tess	1	0	3	0
gellius.attic_nights.part.8.tess	0	0	0	0
gellius.attic_nights.part.9.tess	0	0	1	0
gellius.attic_nights.part.pr.tess	0	0	0	0
glass.washingtonii_vita.tess	5	0	2	0
horace.ars_poetica.tess	2	0	1	0
horace.carmen_saeculare.tess	0	0	0	0
horace.epistles.tess	5	2	0	0
horace.epodes.tess	2	1	0	0
horace.odes.part.1.tess	6	1	1	2
horace.odes.part.2.tess	0	0	0	0
horace.odes.part.3.tess	7	0	2	1
horace.odes.part.4.tess	1	2	1	0
horace.satires.part.1.tess	11	2	5	0
horace.satires.part.2.tess	7	4	5	1
italicus.ilias_latina.tess	6	0	1	0
jerome.epistulae.tess	114	69	155	67
jerome.vulgate.part.1.genesis.tess	45	6	29	19
jerome.vulgate.part.10.2_samuel.tess	3	1	71	8
jerome.vulgate.part.11.1_kings.tess	21	3	66	4
jerome.vulgate.part.12.1_chronicles.tess	19	2	182	6
jerome.vulgate.part.13.2_kings.tess	19	4	66	14
jerome.vulgate.part.14.2_chronicles.tess	26	2	54	8
jerome.vulgate.part.15.ezra.tess	0	0	23	0
jerome.vulgate.part.16.nehemiah.tess	0	0	92	0
jerome.vulgate.part.17.tobias.tess	12	4	10	4
jerome.vulgate.part.18.judith.tess	1	0	3	4
jerome.vulgate.part.19.esther.tess	0	0	2	2
jerome.vulgate.part.2.exodus.tess	1	0	8	3
jerome.vulgate.part.20.job.tess	5	1	4	0
jerome.vulgate.part.21.psalms.tess	3	2	7	2
jerome.vulgate.part.21a.old_latin_psalms.tess	3	3	6	3
jerome.vulgate.part.21b.psalm.tess	0	0	0	0
jerome.vulgate.part.22.proverbs.tess	4	3	10	0
jerome.vulgate.part.23.ecclesiastes.tess	0	0	0	0
jerome.vulgate.part.24.song_of_songs.tess	0	2	0	1
jerome.vulgate.part.25.wisdom.tess	3	1	2	0
jerome.vulgate.part.26.sirach.tess	6	3	8	5
jerome.vulgate.part.27.isaiah.tess	7	1	19	9
jerome.vulgate.part.28.jeremiah.tess	6	4	53	11
jerome.vulgate.part.29.lamentations.tess	0	0	0	8
jerome.vulgate.part.3.leviticus.tess	0	2	1	6
jerome.vulgate.part.30.baruch.tess	0	0	3	0
jerome.vulgate.part.31.ezekiel.tess	4	5	6	2
jerome.vulgate.part.32.daniel.tess	0	0	0	0
jerome.vulgate.part.33.hosea.tess	0	1	1	0
jerome.vulgate.part.34.joel.tess	0	0	0	0
jerome.vulgate.part.35.amos.tess	1	0	2	0
jerome.vulgate.part.36.obadiah.tess	0	0	0	0
jerome.vulgate.part.37.jonah.tess	0	0	0	0
jerome.vulgate.part.38.micah.tess	0	0	2	4
jerome.vulgate.part.39.nahum.tess	0	0	0	0
jerome.vulgate.part.4.numbers.tess	6	0	87	1
jerome.vulgate.part.40.habbakuk.tess	0	0	0	0
jerome.vulgate.part.41.zephoniah.tess	0	0	0	2
jerome.vulgate.part.42.haggaiah.tess	0	0	2	0
jerome.vulgate.part.43.zechariah.tess	2	2	0	3
jerome.vulgate.part.44.malachi.tess	2	0	1	0
jerome.vulgate.part.45.1_maccabees.tess	3	0	16	1
jerome.vulgate.part.46.2_maccabees.tess	2	2	1	0
jerome.vulgate.part.47.matthew.tess	24	10	39	5
jerome.vulgate.part.48.mark.tess	6	6	19	7
jerome.vulgate.part.49.luke.tess	29	9	41	5
jerome.vulgate.part.5.deuteronomy.tess	3	1	15	6
jerome.vulgate.part.50.john.tess	60	6	31	1
jerome.vulgate.part.51.acts.tess	3	0	6	1
jerome.vulgate.part.52.romans.tess	5	0	2	0
jerome.vulgate.part.53.1_corinthians.tess	1	0	2	0
jerome.vulgate.part.54.2_corinthians.tess	3	0	1	0
jerome.vulgate.part.55.galatians.tess	1	1	3	0
jerome.vulgate.part.56.ephesians.tess	3	0	0	0
jerome.vulgate.part.57.philippians.tess	0	0	1	0
jerome.vulgate.part.58.colossians.tess	0	0	0	0
jerome.vulgate.part.59.1_thessalonians.tess	2	0	0	0
jerome.vulgate.part.6.joshua.tess	1	0	12	0
jerome.vulgate.part.60.2_thessalonians.tess	1	0	1	0
jerome.vulgate.part.61.1_timothy.tess	0	0	0	0
jerome.vulgate.part.62.2_timothy.tess	0	0	0	0
jerome.vulgate.part.63.titus.tess	0	0	0	0
jerome.vulgate.part.64.philemon.tess	0	0	0	0
jerome.vulgate.part.65.hebrews.tess	1	0	6	0
