	mode
seneca.de_otio.tess	prose
seneca.de_providentia.tess	prose
seneca.de_tranquillitate_animi.tess	prose
seneca.de_vita_beata.tess	prose
seneca.hercules_furens.tess	verse
seneca.hercules_oetaeus.tess	verse
seneca.medea.tess	verse
seneca.octavia.tess	verse
seneca.oedipus.tess	verse
seneca.phaedra.tess	verse
seneca.phoenissae.tess	verse
seneca.thyestes.tess	verse
seneca.troades.tess	verse
seneca_the_elder.controversiae.part.1.tess	prose
seneca_the_elder.controversiae.part.10.tess	prose
seneca_the_elder.controversiae.part.2.tess	prose
seneca_the_elder.controversiae.part.7.tess	prose
seneca_the_elder.controversiae.part.8.tess	prose
seneca_the_elder.excerpta_controversiae.tess	prose
